plan,duration,mb_used,message_count,messages_included,mb_per_month_included,minutes_included,usd_monthly_pay,usd_per_gb,usd_per_message,usd_per_minute,extra_minutes,extra_mb,extra_messages,extra_cost,total_cost,prev_total_cost,prev_extra_minutes,prev_extra_mb,prev_extra_messages
ultimate,0.0,0.0,0.0,1000,30720,3000,70,7,0.01,0.01,0.0,0.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0
ultimate,0.0,0.0,0.0,1000,30720,3000,70,7,0.01,0.01,0.0,0.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0
ultimate,0.0,0.0,0.0,1000,30720,3000,70,7,0.01,0.01,0.0,0.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0
ultimate,0.0,0.0,0.0,1000,30720,3000,70,7,0.01,0.01,0.0,0.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0
ultimate,0.0,0.0,0.0,1000,30720,3000,70,7,0.01,0.01,0.0,0.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0
ultimate,0.0,0.0,0.0,1000,30720,3000,70,7,0.01,0.01,0.0,0.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0
ultimate,0.0,0.0,0.0,1000,30720,3000,70,7,0.01,0.01,0.0,0.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0
ultimate,0.0,0.0,0.0,1000,30720,3000,70,7,0.01,0.01,0.0,0.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0
ultimate,0.0,0.0,0.0,1000,30720,3000,70,7,0.01,0.01,0.0,0.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0
ultimate,116.83,1901.47,11.0,1000,30720,3000,70,7,0.01,0.01,0.0,0.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0
surf,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
surf,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
surf,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
surf,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
surf,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
surf,171.14,6919.15,30.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
surf,297.69,13314.82,44.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
surf,374.11,22330.49,53.0,50,15360,500,20,10,0.03,0.03,0.0,6970.490000000002,3.0,68.16119140625003,88.16119140625003,20.0,0.0,0.0,0.0
surf,404.59,18504.3,36.0,50,15360,500,20,10,0.03,0.03,0.0,3144.2999999999993,0.0,30.706054687499993,50.70605468749999,88.16119140625003,0.0,6970.490000000002,3.0
surf,392.93,19369.18,44.0,50,15360,500,20,10,0.03,0.03,0.0,4009.1800000000003,0.0,39.1521484375,59.1521484375,50.70605468749999,0.0,3144.2999999999993,0.0
surf,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
surf,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
surf,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
surf,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
surf,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
surf,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
surf,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
surf,54.13,6552.01,15.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
surf,359.76,19345.08,32.0,50,15360,500,20,10,0.03,0.03,0.0,3985.0800000000017,0.0,38.91679687500002,58.91679687500002,20.0,0.0,0.0,0.0
surf,363.24,14396.24,41.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,58.91679687500002,0.0,3985.0800000000017,0.0
surf,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
surf,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
surf,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
surf,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
surf,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
surf,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
surf,0.0,0.0,0.0,50,15360,500,20,10,0.03,0.03,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0
